asset	role	size_bytes	sha256
cpython_workspace_pilot_20260707.tar.zst	native systems pilot raw workspace	142561794	137c012082ce12c3b2236dfa941dd1ddeb13f5cc2323ab9bdb132e649e48d368
cpython_workspace_pilot_archive_verification_20260707.tar.zst	CPython archive verification sidecar	33518	72c4523c77ae05bc61921a1ef51da91683d50d981a4988e128fb17645912834f
foundry_pr306_rerun_20260707.tar.zst	scientific-software pilot rerun public-safe raw workspace	422196083	9662c55edaeabe0badce3f1296c6f062f2c5116276daf64f98f986831aaef79e
foundry_pr306_rerun_archive_verification_20260707.tar.zst	Foundry rerun public archive verification sidecar	79619	ea852eaf8c65eca7696c91729e0c06820a05ef52eeb91c825a193156cdfe3021
workspace_supplemental_raw_evidence_20260707.tar.gz	study-level supplemental raw evidence	66058	004b58ec2c3fd7832d2fa2b7ab3c2adc92aebce4d83ec5ef87e341df60fe4233
